Place ID,Name,Latitude,Longitude,Address,Rating,Ratings count,Price range
ChIJNe_8fqtz5okR71xhkUogDJw,Ben & Jerry’s,41.4918536,-72.08887610000001,"FWR6+PC Uncasville, Montville, CT, USA",4.5,17,2
ChIJNe_8fqtz5okRlnqVyIGdmHw,Summer Shack,41.4922577,-72.0897195,"FWR6+W4 Uncasville, Montville, CT, USA",3.6,199,3
ChIJNe_8fqtz5okRxCZYZM8K8SM,Ballo Italian Restaurant,41.49150519999999,-72.0916265,"FWR5+J8 Uncasville, Montville, CT, USA",4.5,214,2
ChIJ89wSp4V15okRISrqjokU-k4,Scorpion Bar Foxwoods,41.473969,-71.96078299999999,"F2FQ+HM Ledyard, CT, USA",4.1,492,2
ChIJzQXwUNo85okRfBuuLpZC5c0,The Griswold Inn,41.351348,-72.38683499999999,"9J27+G7 Essex, CT, USA",4.6,1027,2
ChIJy80_1RvB5YkRCLF8FIJYlYg,The Nordic,41.4263517,-71.6285609,"C9GC+GH Charlestown, RI, USA",4.7,2722,3
ChIJNe_8fqtz5okRJhkU-YUiz2M,Bobby's Burger Palace,41.492236,-72.090946,"FWR5+VJ Uncasville, Montville, CT, USA",4.3,193,2
ChIJP5RWzY915okRyiNgelcm8Y8,Dunkin',41.4729043,-71.96011610000001,"F2FQ+5X Ledyard, CT, USA",3.9,211,1
ChIJAVTcenUk5okRHCr6Kg2_ZkQ,Fiore's of Westbrook Pizzeria,41.2889919,-72.4307614,"7HQ9+HM Westbrook, CT, USA",3.9,129,1
ChIJNe_8fqtz5okRcxEye55ew6I,Johnny Rockets,41.4918989,-72.0887375,"FWR6+QG Uncasville, Montville, CT, USA",3.0,115,2
ChIJib9euP0R5okRhJ6Ag0HCm9c,Auntie Anne's,41.3744747,-72.14542949999999,"9VF3+QR Waterford, CT, USA",4.3,12,1
ChIJO5_4GBCpZlMRIDfWy7hgdSs,Subway,48.3882054,-115.554923,"9CQW+72 Libby, MT, USA",4.1,88,1
ChIJg3fseRqpZlMRb_xHzBVT7yg,Venture Inn and Restaurant,48.3926741,-115.5642219,"9CVP+38 Libby, MT, USA",4.4,372,2
ChIJ8y6PFASpZlMRVlHhKs2vFLM,Cabinet Mountain Brewing Company,48.393717,-115.5507336,"9CVX+FP Libby, MT, USA",4.4,153,1
ChIJc1VdBequZlMRUSwu5TsJZzc,The Shed Restaurant and Bar,48.3433776,-115.5186078,"8FVJ+9H Libby, MT, USA",4.4,196,2
ChIJD4dNnCT5Y1MRaUOclKiZUr0,Main Street Perk & Pub,48.4593729,-115.8932562,"F454+PM Troy, MT, USA",4.7,122,2
ChIJXR2ZaRCpZlMR0mhAf491t0E,Burger Express,48.3871489,-115.5529269,"9CPW+VR Libby, MT, USA",4.4,494,1
ChIJOXVBQASpZlMRdUXNL85GvQI,Pastime bar and lounge,48.3933608,-115.551166,"9CVX+8G Libby, MT, USA",4.5,127,1
ChIJO9iz3DwdZFMRexV2FkFrIzE,Red Dog Saloon & Pizza,48.480026,-115.5257695,"FFJF+2M Libby, MT, USA",4.5,82,2
ChIJpSWkKRCpZlMRsQY9VT9jqdg,Pizza Hut,48.38790379999999,-115.5555616,"9CQV+5Q Libby, MT, USA",4.3,138,1
ChIJR7XjfxqpZlMRGcBqYcvU4mA,Rositas Mexican Food,48.38692349999999,-115.5509189,"9CPX+QJ Libby, MT, USA",4.3,212,2
ChIJkbSGfBCpZlMRhAfPje5o5KI,McDonald's,48.3866837,-115.5517602,"9CPX+M7 Libby, MT, USA",3.7,370,1
ChIJi_w-LQ6pZlMRbsrk991ESVU,Henry's Restaurant,48.389061,-115.559138,"9CQR+J8 Libby, MT, USA",4.4,263,1
ChIJ-6mNeRqpZlMRaE_7umc_OOQ,4Bs Antlers Libby,48.3932211,-115.5629804,"9CVP+7R Libby, MT, USA",3.9,268,1
ChIJV50SYwmpZlMRD8QbHPjXf7E,Switchback Bar & Grill,48.393335,-115.565541,"9CVM+8Q Libby, MT, USA",4.3,330,2
ChIJdatK9uD5VVMREyVqFIaND6g,Mountain Man Trading Post,43.6172929,-113.3066455,"JM8V+W8 Arco, ID, USA",4.5,44,1
ChIJgQ4ZA_T5VVMRiNvMGUqFTdw,Hot Stuff Pizza,43.6353261,-113.2990304,"JPP2+49 Arco, ID, USA",4.6,16,1
ChIJQYstAfT5VVMRnqHmNFjJedk,Lost River Valley Coffee,43.63459049999999,-113.2982485,"JPM2+RP Arco, ID, USA",4.3,31,1
ChIJuUuCDvP5VVMRKGK5r48_hfg,Deli Sandwich Shop,43.6357963,-113.302018,"JMPX+85 Arco, ID, USA",4.3,232,1
ChIJ-x4xuPn5VVMRxMmj_-SX8sY,Golden West Cafe,43.6299204,-113.2919114,"JPH5+X6 Arco, ID, USA",4.5,142,2
ChIJf2rzuvb5VVMRh4TpKLZ8uis,Pickle's Place,43.63334709999999,-113.2965392,"JPM3+89 Arco, ID, USA",4.3,1031,1
ChIJlwxO47gdVlMRlPKW4FJAjPw,Champs Chicken,43.9140701,-113.6115237,"W97Q+J9 Mackay, ID, USA",3.9,20,2
ChIJXXt-z7gdVlMR8o9EPNI7PPk,Ken's Club,43.91418119999999,-113.6134557,"W97P+MJ Mackay, ID, USA",4.3,126,2
ChIJSVy4oLgdVlMRslytQCyYtYQ,Amy Lou's Steakhouse,43.91555789999999,-113.6141357,"W98P+68 Mackay, ID, USA",4.0,169,1
ChIJDz3smsxetVIRu94hq3Qgx-Q,Subway,45.1153565,-95.0423404,"4X85+43 Willmar, MN, USA",4.1,161,1
ChIJ0XfwF6ZetVIRK9irpBgmses,Subway,45.1247031,-95.02100229999999,"4XFH+VH Willmar, MN, USA",4.1,84,1
ChIJVyI4kNsNtVIRbHRGJJcocfA,Subway,45.3759819,-94.7297952,"97GC+93 Paynesville, MN, USA",4.3,100,1
