Place ID,Name,Latitude,Longitude,Address,Rating,Ratings count,Price range
ChIJZQ6BEXZe14AR6olrRzitFFc,Subway,32.849287800000006,-115.5697058,"RCXJ+P4 Imperial, CA, USA",4.2,72,1
ChIJG3vjvDda14ARQQpdsyPpiZM,Subway,32.9624085,-115.5458493,"XF63+XM Brawley, CA, USA",3.9,24,1
ChIJ65WooQpe14ARe5yAyhIps28,Maranatha Steakhouse,32.841778999999995,-115.568291,"RCRJ+PM Imperial, CA, USA",4.5,310,2
ChIJP646YhRa14ARqb8dCyn0i5s,Pizza Hut,32.97895130000001,-115.5473301,"XFH3+H3 Brawley, CA, USA",4.2,257,1
ChIJH3Qkemla14ARaPGcgMIywEM,Little Caesars Pizza,32.97871,-115.537636,"XFH6+FW Brawley, CA, USA",4.4,193,1
ChIJF_uk7jha14ARQ2OgE_cUiVU,Las Chabelas Restaurant,32.968628,-115.54594,"XF93+FJ Brawley, CA, USA",4.2,675,2
ChIJi1WT4_Ra14AR_-yIWbd6mF4,Imperial Restaurant,32.978962100000004,-115.5173604,"XFHM+H3 Brawley, CA, USA",4.2,105,1
ChIJRSc-rUFa14ARTR2aArh3rsw,7-Eleven,32.9732664,-115.5413119,"XFF5+8F Brawley, CA, USA",3.0,4,1
ChIJ_4U9rTha14ARNRAcZ-u61fU,Del Taco,32.9614109,-115.5489817,"XF62+HC Brawley, CA, USA",4.1,346,1
ChIJ3b-JjlxW14ARDmaNyMBeyGw,Shell,33.037114100000004,-115.6248833,"29PG+R2 Westmorland, CA, USA",4.1,74,2
ChIJRXrEBFxW14ARpiOa8Y9nsdw,McDonald's,32.9789762,-115.5422936,"XFH5+H3 Brawley, CA, USA",3.7,887,1
ChIJH4sMiBNa14ARsWzdgpWr9G4,Subway,32.979373800000005,-115.5481675,"XFH2+PP Brawley, CA, USA",4.2,126,1
ChIJNdkmmEBa14AREnNdmI4RX9s,Starbucks,32.96274599999999,-115.54833,"XF72+3M Brawley, CA, USA",4.3,341,2
ChIJ3WM0JK4j14ARL-TR_TDZCjc,Boardmanville Trading Post,32.99096,-115.025043,"XXRF+9X Glamis, CA, USA",4.9,72,1
ChIJn4gxhaxg14ARV1z-7DBybFA,Applebee's Grill + Bar,32.8159759,-115.570375,"RC8H+9V El Centro, CA, USA",3.8,665,2
ChIJyXnF_V1a14AR4AyRjL-uT5Y,Brownie's Diner,32.9781539,-115.5267828,"XFHF+77 Brawley, CA, USA",4.3,444,2
ChIJr2jD6nVe14ARsEBjsSPKB98,Humble Farmer Brewing- Imperial,32.847077299999995,-115.5695313,"RCWJ+R5 Imperial, CA, USA",4.7,242,2
ChIJgTgvHA6mIIYR8-Hw_kHU-f0,The Court of Two Sisters,29.957535600000003,-90.0652738,"XW5M+2V New Orleans, LA, USA",4.4,3611,3
ChIJs_quaAymIIYRUwRs2-LHWqA,Bourbon House,29.9546021,-90.069147,"XW3J+R8 New Orleans, LA, USA",4.3,3337,3
ChIJfV2h73KmIIYRRDpBV-crpB8,Mother's Restaurant,29.948984600000006,-90.0670016,"WWXM+H5 New Orleans, LA, USA",4.1,9232,2
ChIJ01VeXQymIIYRI6lnasCzx3M,Acme Oyster House,29.9542735,-90.0689651,"XW3J+PC New Orleans, LA, USA",4.5,7359,2
ChIJW3d2Wc2lIIYRu-qs_NaSOkg,Commander's Palace,29.9288071,-90.0842041,"WWH8+G8 New Orleans, LA, USA",4.6,4593,3
ChIJi2AxW3SmIIYRmML7jsbqtb8,Herbsaint,29.947316,-90.07156100000002,"WWWH+W9 New Orleans, LA, USA",4.6,854,3
ChIJFYDeXQymIIYRh1Cion6Ta9I,Dickie Brennan's Steakhouse,29.9542059,-90.06872790000001,"XW3J+MG New Orleans, LA, USA",4.4,1194,4
ChIJMwzPjvWlIIYRGeDgzUA-gCI,Parkway Bakery & Tavern,29.973623,-90.090254,"XWF5+CV New Orleans, LA, USA",4.7,3496,1
ChIJ28cfCwymIIYRmTnBVitvmZ0,Deanie's Seafood Restaurant in the French Quarter,29.9553468,-90.0698063,"XW4J+43 New Orleans, LA, USA",4.3,6488,2
ChIJ-1jGZCSwIIYRUaS-g33kjqM,Subway,30.0061561,-90.15718,"2R4V+F4 Metairie, LA, USA",3.3,11,1
ChIJ_0e-awymIIYRMGebBF_zWeE,Galatoires,29.9549285,-90.06901979999998,"XW3J+X9 New Orleans, LA, USA",4.3,1160,4
ChIJaS5FoBGmIIYRTXOjqm3XxI0,Muriel's Jackson Square,29.95845219999999,-90.0631866,"XW5P+9P New Orleans, LA, USA",4.6,2581,3
ChIJ6Q39Ds6nIIYRVwjVLHTvJNw,The Joint,29.9613336,-90.0355517,"XX67+GQ New Orleans, LA, USA",4.6,2370,2
ChIJDyC9Ig6mIIYRDWmrSR08N54,Pat O'Brien's,29.958200800000004,-90.0652973,"XW5M+7V New Orleans, LA, USA",4.5,7600,2
ChIJWegGCA6mIIYRYAiMKN4T4CM,Antoine's Restaurant,29.9567368,-90.06639240000001,"XW4M+MC New Orleans, LA, USA",4.3,2320,3
ChIJGw2RxnKmIIYRk0cBxtskDck,August,29.9499784,-90.06679220000002,"WWXM+X7 New Orleans, LA, USA",4.6,797,4
ChIJI9sXUnl5oYcRon8SpPZ9Qxk,Subway,38.87067860000001,-99.3183404,"VMCJ+7M Hays, KS, USA",3.8,93,1
ChIJzRLoE8nJo4cRmzu32PrlSWU,Subway,38.8668246,-98.8551499,"V48V+PW Russell, KS, USA",3.7,144,1
ChIJD4asEUyKo4cRit1r4T_vUew,Subway,38.3615083,-98.7764066,"966F+JC Great Bend, KS, USA",4.1,94,1
ChIJ_YczUQF5oYcRKqjSzcP3yjo,Subway,38.9037777,-99.3211704,"WM3H+GG Hays, KS, USA",4.2,28,1
ChIJo38P9YR5oYcRlAHxYajMrVg,Gella's Diner & Lb. Brewing Co.,38.8720844,-99.3295624,"VMCC+R5 Hays, KS, USA",4.6,808,2
ChIJJyvHTr15oYcRT3PbVs04KSM,Gambino's Pizza,38.877533,-99.317528,"VMHJ+2X Hays, KS, USA",4.1,196,2
ChIJI0mU8nYEpIcRuBgZPS_uOiY,Subway,38.1884671,-99.0979294,"5WQ2+9R Larned, KS, USA",4.1,50,1
ChIJT_t4JXN5oYcRgt-SBMRXWrQ,Jimmy John's,38.88517679999999,-99.3154524,"VMPM+3R Hays, KS, USA",4.2,159,1
ChIJe8bGln95oYcR1fk6X1v6-1Y,J D's Country Style Chicken,38.8652778,-99.3194444,"VM8J+46 Hays, KS, USA",4.4,299,1
ChIJSeAPmGx5oYcRn_0nqGT2qbQ,Casey's,38.88496429999999,-99.3081761,"VMMR+XP Hays, KS, USA",4.0,25,1
ChIJb7GgOEaSo4cRcfFvU8YDBME,Dairy Queen Grill & Chill,38.5212425,-98.774254,"G6CG+F7 Hoisington, KS, USA",4.1,211,1
ChIJB_k9PMnJo4cRAW5QUuf4b-o,Pizza Hut,38.8668576,-98.85384859999999,"V48W+PF Russell, KS, USA",3.9,151,1
ChIJ49VlA-vJo4cRIX8oUZCYGik,A&W Restaurant,38.88174620000001,-98.856461,"V4JV+MC Russell, KS, USA",4.3,430,1
ChIJ222ic0KSo4cRMqZ906qykdA,Casey's,38.51244799999999,-98.77704279999999,"G66F+X5 Hoisington, KS, USA",4.3,47,1
ChIJ39R2Fo3Jo4cRBaIXKONEZBo,Waudby's Sports Bar & Grill,38.89259699999999,-98.8595156,"V4VR+25 Russell, KS, USA",4.4,186,2
ChIJ7aDki1OKo4cRKb4SwF5juv8,Subway,38.35919060000001,-98.7864974,"9657+MC Great Bend, KS, USA",4.4,25,1
ChIJHWcfBP-Ko4cR4abmIZAz2pg,Braum's Ice Cream & Burger Restaurant,38.3613889,-98.79472220000001,"9664+H4 Great Bend, KS, USA",4.2,745,1
ChIJ7TlW2gi0r1QRrDQ8pA87T48,Subway,43.66729820000001,-116.6825264,"M888+WX Caldwell, ID, USA",3.8,249,1
ChIJDej0d5-0r1QRc2uWoi2H4fY,Subway,43.6314201,-116.6434249,"J9J4+HJ Caldwell, ID, USA",3.9,162,1
ChIJ0yF87ZlMrlQR1x-CWVcvx1Y,Subway,43.59988189999999,-116.59424579999998,"HCX4+X8 Nampa, ID, USA",3.9,217,1
ChIJ91p5mplMrlQRYMGnQ9Fl7IU,Mongolian BBQ,43.5997637,-116.59508970000002,"HCX3+WX Nampa, ID, USA",4.4,1015,2
ChIJ62ngfSTLr1QRNeJkSf07tR4,The Orchard House Restaurant,43.5879821,-116.79270929999998,"H6Q4+5W Caldwell, ID, USA",4.6,954,2
ChIJGdrpD2xMrlQRHz73iJ64xu4,Brick 29 Bistro,43.57718120000001,-116.5633047,"HCGP+VM Nampa, ID, USA",4.7,1917,2
ChIJWVYD6uyxr1QRrGFpv6v4aGg,Subway,43.7066218,-116.621492,"P94H+JC Middleton, ID, USA",4.1,189,1
