City,Lat,Lng,State,Place_ID,Price_range,Rating,Ratings_count
City,40.7347912,-73.936311,Queens,ChIJRZMiSjNZwokRKfjCfa3n4YI,0,4.5,4
York,40.735345,-73.9356295,NY,ChIJSeLnzcxewokRH8fkKiz6tcY,2,4.1,43
York,40.7356919,-73.9347422,NY,ChIJ7VhT3sxewokRpnmXD6ZTiVQ,2,4.7,331
City,40.7356677,-73.9391278,Queens,ChIJrQFyY2BZwokRIDuajFswByU,0,5,5
Brooklyn,40.727975,-73.942218,NY,ChIJ34NUiUlZwokRkf2-QODrZi0,1,4.4,231
Brooklyn,40.7278843,-73.9421954,NY,ChIJkaM2iUlZwokRZ_UQop5HrcE,1,4.1,42
York,40.7367647,-73.932188,NY,ChIJQd79l81ewokRlZCSFT_PgSI,1,3.8,133
Brooklyn,40.7259768,-73.9418488,NY,ChIJNXR730tZwokRsOHZsUU3rd4,1,4.3,280
York,40.725929,-73.9427719,NY,ChIJIbfFaUlZwokR7QeqHwSoJYY,1,4.2,121
York,40.7236043,-73.9405058,NY,ChIJKdbNGW5ZwokRSAk2NMdG8Rk,0,5,4
York,40.7375139,-73.9296028,NY,ChIJsYtkAs5ewokRXfkvdXSwTJ8,2,3.9,470
York,40.7387074,-73.9343568,NY,ChIJ77qMmNJewokREzQ-5yVb1hs,1,3.8,156
York,40.7379639,-73.9294324,NY,ChIJYRhE-9FewokRplKQ25_qBew,2,4.4,75
York,40.7371201,-73.9272218,NY,ChIJq6oGKS1fwokRzRAue4DzFgA,0,0,0
York,40.7231824,-73.9423553,NY,ChIJ3Sbcm05ZwokR152naDwPq-0,2,4.4,266
York,40.7216637,-73.9383013,NY,ChIJsZF1_UxZwokRm8tdshtAe1M,1,3.9,88
York,40.7220662,-73.9404479,NY,ChIJP6V-M0xZwokRTBwFXivdlEE,1,3.6,1662
Brooklyn,40.7223589,-73.9412863,NY,ChIJ26P8lMtZwokRj5CHMBnHtDs,0,4.5,121
York,40.725349,-73.9456547,NY,ChIJjRx1zkhZwokRUlwKKZkbTLQ,2,3.9,163
Brooklyn,40.7255406,-73.945977,NY,ChIJbT88yUhZwokRK2VqXoC7hgk,0,4.5,31
Luxora,35.7552638,-89.9283009,AR,ChIJyzCXGIVXf4gRpZ0mJvbOf8I,1,4.8,47
Osceola,35.7026919,-89.9698442,AR,ChIJQ6h01FBYf4gR5m07R6Oe_68,1,4.1,108
Osceola,35.697845,-89.9737334,AR,ChIJL5KCb1hYf4gRp_PxGqTLKsU,0,4,43
Osceola,35.6985605,-89.9824913,AR,ChIJtZUpJdlZf4gRhDSiMiOxs7w,1,3.7,46
Osceola,35.6976729,-89.9819667,AR,ChIJ7cSnGmBYf4gRFi1wPnT2VsM,0,5,2
Osceola,35.6982139,-89.9855901,AR,ChIJh4mY6WFYf4gRu-JE3nl3sD4,2,4.3,66
Osceola,35.6970889,-89.9833965,AR,ChIJsUcp8F9Yf4gR2GuHJjX0yME,1,3.3,109
Osceola,35.6970854,-89.9834077,AR,ChIJGUcp8F9Yf4gRCr8RvS_Doc0,1,3.3,159
Prairie,46.122825,-95.5098028,MN,ChIJiarIGvv2yVIRUevFO6R9uZQ,0,4.5,137
Vining,46.122739,-95.5119862,MN,ChIJo4Y4yvX3yVIRnrFF1whrv9U,0,0,0
Onekama,44.3611414,-86.1946116,MI,ChIJZy_3w2l-HogRUG1tKuYBTV0,0,4.5,210
Onekama,44.3621884,-86.1993908,MI,ChIJjXKiqEN-HogRi6TFApksSRM,1,4.4,306
Onekama,44.3661216,-86.2102519,MI,ChIJmVKM7BF_HogRXS7CTfuB14E,0,0,0
Onekama,44.3661216,-86.2102519,MI,ChIJO5W1O1J-HogRbq53qsymhoc,3,4.8,230
Lake,44.382361,-86.1556112,MI,ChIJP_T5ITh8HogRRGWHyeuXudk,2,4.4,210
Manistee,44.303216,-86.1827431,MI,ChIJ4Zgc2NCAHogRBRgoOtLF6Js,0,4,2
Pinola,31.7962531,-89.9874615,MS,ChIJUW-OzRaogogR_wC_S86KSQw,2,4.7,201
Brooksville,38.695509,-84.0697545,KY,ChIJY_O3VaZvQYgRQLl5iYaBQRQ,0,4.5,22
Brooksville,38.6855906,-84.0681721,KY,ChIJT4_Rn5xvQYgRVJfhtPUKWcQ,1,4.3,90
Brooksville,38.6825213,-84.064963,KY,ChIJARpqZZtvQYgRX24SLqINIP0,1,3.8,94
Prentice,45.5480615,-90.3131009,WI,ChIJpxcGdvH1qlIRa5f8ujJvtiw,0,4.5,6
Prentice,45.5480615,-90.3131009,WI,ChIJz9q2Lc_0qlIR0qUAmtgvV-c,0,4.2,70
Prentice,45.5484539,-90.3129712,WI,ChIJ1-D6PCn1qlIRo3nUviz3gdE,0,2,2
Prentice,45.5647113,-90.2901252,WI,ChIJiygZmiuLqlIR8Xx655SJWDw,0,5,11
Minerve,46.2552189,-74.9357736,QC,ChIJfc3NB1OSz0wRk0HoA36GxJI,0,4.3,59
Daphne,30.603879,-87.834192,AL,ChIJg3EjwoppmogRt2fCIA55P2Y,0,3.9,7
Daphne,30.6007854,-87.8517334,AL,ChIJzaM3sQFqmogRsUxC4eBjhrU,0,4.5,91
Daphne,30.6029047,-87.8525172,AL,ChIJnURpcf9pmogRercUPyfyASU,2,4.6,1268
Daphne,30.6014393,-87.8520745,AL,ChIJ4UL_zgFqmogRaEgo5NB8s00,0,4.6,14
Daphne,30.5946871,-87.8527331,AL,ChIJk82gzc1rmogR57QFY1O1UZk,0,4.4,9
Daphne,30.5962111,-87.8535807,AL,ChIJ12ndNQdqmogRGzKbTNb8e88,0,4.6,41
Loxley,30.6173386,-87.7537148,AL,ChIJJ0wt4ZZumogRJ6VZNqfZ0o0,1,4,115
Loxley,30.6145409,-87.7533501,AL,ChIJXQuNIZRumogRWERlTHTh8vE,2,4.3,139
Loxley,30.6161908,-87.7533478,AL,ChIJs9ZdL5RumogRiEjaY1AawGI,1,4.5,727
Loxley,30.6180952,-87.7527674,AL,ChIJvRbMWRJvmogRzK5xn_uoKbs,1,5,2
Loxley,30.6194134,-87.7527188,AL,ChIJC1AwQJRumogRJlhRkuTdeu0,0,5,2
Loxley,30.6326289,-87.7552743,AL,ChIJI4aNajpumogRJoOC70oeRkI,1,4.4,740
Loxley,30.6468439,-87.7612004,AL,ChIJHRdfa5RumogRn9Ah2w2nATo,1,2.9,952
Loxley,30.6480023,-87.7612607,AL,ChIJz4DfNetumogRnVOHElAPWzc,1,3.4,291
Loxley,30.6486598,-87.7612743,AL,ChIJxxq7xt5umogRpwZeji9OeNU,1,3.5,703
Loxley,30.647888,-87.759702,AL,ChIJqcD-GShvmogRlY6tjN30NuI,1,4.2,689
Daphne,30.6563223,-87.85152,AL,ChIJRXmr4ChomogRfuLC2KDIhrs,2,2.8,22
Daphne,30.656954,-87.8514161,AL,ChIJPfbMX6JDmogRvOhUL6qNFgo,1,3.6,129
Daphne,30.6406308,-87.8671544,AL,ChIJ9yU9-GRCmogRo4hFFrHZfI4,2,4.2,34
Daphne,30.657339,-87.851498,AL,ChIJ7VJ-_NdDmogRUZMEsFdgEOk,2,4.2,471
Sioux,41.7998844,-96.0594296,IA,ChIJJzerb31KkocRrAPWEOy-R24,0,4.3,12
Zeeland,42.828796,-86.016825,MI,ChIJ4yAGA3yTGYgRJiA1QQ9cNxg,1,4.6,198
Zeeland,42.8284624,-86.0163889,MI,ChIJ4yAGA3yTGYgRLT-xXtMSM2U,2,4,129
Zeeland,42.8283316,-86.0162345,MI,ChIJ4yAGA3yTGYgRtGcL0E5fgLk,1,4.5,182
Zeeland,42.8816606,-86.020716,MI,ChIJ-30oOlCRGYgRK-wAb9W6d7Y,2,4.9,104
Zeeland,42.81435,-86.020847,MI,ChIJYauVYV2TGYgRC8xMiIL8pHI,1,3.9,74
Zeeland,42.8143689,-86.0204635,MI,ChIJYauVYV2TGYgR8ly14DiY_FU,2,4.5,842
Zeeland,42.813007,-86.019226,MI,ChIJaWwAu12TGYgRtg3XD0WqLck,1,4.3,180
Zeeland,42.8128746,-86.0311313,MI,ChIJl1x_Q0CTGYgRe-BvP7N_nqI,1,4.3,863
Zeeland,42.812534,-86.0321066,MI,ChIJyQ1kfECTGYgRmQiOkFiTG-w,1,4.7,628
Zeeland,42.8127539,-86.0341766,MI,ChIJI5VGjE6TGYgR5TcWp_S3Yhc,2,4.4,133
Zeeland,42.812557,-86.016037,MI,ChIJr-eJTSaTGYgRniYayyBmk84,0,4.7,135
Zeeland,42.8124524,-86.0152752,MI,ChIJI5yJT16TGYgRmFYIlqxn5V4,2,4.4,336
Zeeland,42.8122195,-86.0156921,MI,ChIJcemeKKKTGYgRI2HQmjfgjHQ,0,0,0
Zeeland,42.8121216,-86.0157285,MI,ChIJE_lcJuuLW0ARlp--EFnnO44,2,4.4,384
Zeeland,42.8125517,-86.0125136,MI,ChIJjQTQ8l-TGYgRcEiFGCVrUIY,1,3.9,173
Zeeland,42.8121188,-86.0150839,MI,ChIJv2gWUV6TGYgRnOx8-4X9If8,1,4.5,400
Zeeland,42.812088,-86.014679,MI,ChIJZVXOrF-TGYgRnmS1fw58Ljo,2,4.5,623
Zeeland,42.8125496,-86.0086899,MI,ChIJIcMGx6GUGYgRvaqZtnvYDvA,1,4.3,203
Zeeland,42.8107189,-86.0389445,MI,ChIJ-2mLcjyTGYgR4LfHA49Rl10,1,3.3,232
Zeeland,42.8103451,-86.0402131,MI,ChIJBYSzgTuTGYgRDfYQ5s0ezjk,1,4.7,431
Ensenada,31.7774199,-116.6175906,California,ChIJXzl8fSWQ2IARHQP2FR0v8XQ,0,4.3,80
Ensenada,31.777235,-116.6166687,California,ChIJzcQqhyWQ2IAR3cgvOFmmhpw,0,4.6,1331
Ensenada,31.7825834,-116.619291,California,ChIJIyENQDOR2IARwsCTglAiyg4,0,4.8,6
Ensenada,31.78223,-116.60776,California,ChIJPRsdGaaP2IARQ_EF9wrFhcA,0,0,0
Ensenada,31.7822818,-116.6067753,California,ChIJlyd3yteP2IAR4V5_lQzt_xM,0,4.3,29
Ensenada,31.7805329,-116.6039571,California,ChIJOxgxyn2P2IARDokDfDPs7tw,0,4.7,52
Ensenada,31.7815496,-116.6042713,California,ChIJTT_4EteP2IARM4KF_pC1Me8,1,4.5,160
Ensenada,31.7816761,-116.6043366,California,ChIJ8YgFXRyP2IARu-oNfZ9IiWY,0,0,0
Ensenada,31.7816918,-116.6043105,California,ChIJBR0vbdeP2IARnLLV1ARg8bw,0,4.3,34
Ensenada,31.7816789,-116.6042958,California,ChIJ5T9cNbyP2IARNEi8jcsodPU,0,4.2,5
Ensenada,31.7811393,-116.6038088,California,ChIJr7nT5j6P2IARmM_rElXWFhw,0,5,4
Ensenada,31.7817882,-116.6043399,California,ChIJi-04ePaP2IARX1RgXR_srRI,0,0,0
Ensenada,31.7816764,-116.6041868,California,ChIJmyl9ZqKP2IARTlKeqm26J8I,0,0,0
Ensenada,31.7821694,-116.6044275,California,ChIJP7jPEdeP2IARLv2zLWj_Sxw,1,4.5,458
Ensenada,31.7825931,-116.6046082,California,ChIJ0R_tBNeP2IAR9gCncA2DjXo,1,4.5,65
Ensenada,31.7826709,-116.603965,California,ChIJ-9FbX-KP2IARSt2hJpdgbKg,0,3.6,5
Ensenada,31.7824708,-116.6024297,California,ChIJM5CMAryP2IARdjABajKm-z0,0,0,0
Ensenada,31.7810783,-116.6006981,California,ChIJtVgsdNqP2IARiY7kwRj_wBw,1,4.4,64
Ensenada,31.7811488,-116.6003744,California,ChIJqensFD-P2IARTm14MQ1cvl8,0,2,1
Springport,42.3930918,-84.7931993,MI,ChIJ6UiahYpSPYgRZAWaKY78la8,0,4.7,42
Liberty,34.6945958,-82.6793812,SC,ChIJV-GaybFDWIgRm341b4xuubc,0,4.6,127
Central,34.7081398,-82.7594283,SC,ChIJk58v2OtcWIgRYiDHA2aXEn4,1,4.3,508
Central,34.7077778,-82.7613889,SC,ChIJmzKfX-lcWIgRzTL-AhrcuTk,0,4.7,118
Central,34.7077848,-82.7614688,SC,ChIJmzKfX-lcWIgRYbgJ4IZOdlY,1,3.9,113
Central,34.7075868,-82.7617019,SC,ChIJ23BrsO5cWIgRVGPaDHtGhr0,1,4.5,496
Central,34.7072527,-82.7621413,SC,ChIJSRUhsu5cWIgRKsz_6di7Pa8,2,4.6,166
Pendleton,34.6641674,-82.7671583,SC,ChIJxRDD_HFdWIgRbSYX2q43s9M,1,4.5,275
Central,34.727459,-82.7609861,SC,ChIJ87Pwd5lcWIgR9RqPRNcAbF0,1,4.5,39
Clemson,34.6848118,-82.7856764,SC,ChIJUS5k_q5dWIgRXoBvVeZauN8,0,4.9,42
Clemson,34.6853372,-82.7861103,SC,ChIJ9RPwVq5dWIgReNthF6bCiso,2,4.4,505
Clemson,34.6850401,-82.7863892,SC,ChIJpUFiU65dWIgRgy4s6U_Lke8,0,4.5,318
Clemson,34.6846581,-82.7870423,SC,ChIJ83VbNWReWIgRyqKou5yxg6A,2,4.5,714
Central,34.725424,-82.774289,SC,ChIJnTkcAnZdWIgRSljB8sAaEbI,0,4.8,55
Central,34.6999956,-82.7916083,SC,ChIJYwn0pMRdWIgRgUaY4H36dkc,0,4.8,48
Central,34.7239894,-82.7807684,SC,ChIJeeAwHGNcWIgR58qjm5czpiM,2,4.3,270
Pendleton,34.649645,-82.7782128,SC,ChIJ-X9kvZpdWIgRtn5qSI0w-jM,0,0,0
Central,34.7239608,-82.78196,SC,ChIJ-ThHbWNcWIgR05TZAwql3A4,1,4.2,336
Central,34.7193955,-82.7857322,SC,ChIJ4b8L4WddWIgRGUGmA6dSC84,0,4.9,38
