City,Lat,Lng,State,Place_ID,Price_range,Rating,Ratings_count
Winkelman,32.742433,-110.6296398,AZ,ChIJw4mcaQkh1oYRQh-9m6wW1c8,0.0,0.0,0
Mammoth,32.7344516,-110.6482027,AZ,ChIJe_Z0Cioh1oYRLL0CG9JPuTo,0.0,4.8,28
Mammoth,32.7307672,-110.6477213,AZ,ChIJeQVPrR8h1oYRUINH_jCSiFo,0.0,4,9
Mammoth,32.7307672,-110.6477213,AZ,ChIJY8_kPx8h1oYRHUi_9WBJXo0,0.0,4.6,244
Diego,32.9595041,-117.189873,CA,ChIJFfx26QkI3IARXJlzJdu0V0M,0.0,4,4
Diego,32.9621066,-117.1889217,CA,ChIJm1krGgkI3IARPzp3WoSKv8A,2,4,327
Diego,32.9617333,-117.1893056,CA,ChIJLV1ZCwkI3IARxcZHyIQDSaw,2,4.1,198
Diego,32.9622213,-117.1891038,CA,ChIJ74OHYJIJ3IARAVfqEfpgQz0,0.0,4.3,68
Diego,32.961854,-117.1894228,CA,ChIJ36joeL8J3IARDjVHJMHx4hI,0.0,4.2,50
Diego,32.9609975,-117.1904832,CA,ChIJ0YLFggkI3IAR4muXXsIhVh8,2,3.9,243
Diego,32.96207959999999,-117.1898425,CA,ChIJtb-RlXwJ3IARadXN8r8Z2rU,0.0,5,1
Diego,32.96207959999999,-117.1898425,CA,ChIJl9X1uBsJ3IARunN83byMwFM,0.0,5,4
Diego,32.96181790000001,-117.1900614,CA,ChIJ6W_rbQkI3IARniRe1nEwTyE,2,4.1,176
Diego,32.9615859,-117.1902829,CA,ChIJrR0pdwkI3IARmMb-e8nvRuk,2,4.1,133
Diego,32.9621318,-117.1899175,CA,ChIJdydB1IUJ3IARbE_WkiVDvDk,1,4.4,15
Diego,32.96153990000001,-117.1904167,CA,ChIJK_oEvwkI3IARsQbzdHtGusY,2,3.8,137
Diego,32.9672043,-117.1894374,CA,ChIJk0taoLIJ3IARzOYMulc-ilQ,0.0,0.0,0
Diego,32.9616671,-117.1551056,CA,ChIJ_TIJCb3524ARDWGr8GDUDRc,0.0,4.7,96
Diego,32.96191999999999,-117.15492,CA,ChIJsxUbyR7424ARyMR8R6TACSA,1,4.3,199
Diego,32.9619631,-117.1548262,CA,ChIJJ5EwsR7424AR8xjzJ6njOQM,1,4.5,421
Diego,32.9620622,-117.1542975,CA,ChIJx6Uryh7424ARg79FPl3jcx8,2,4.2,236
Diego,32.9568246,-117.1523056,CA,ChIJR27TFvX524ARAl2TunY8SZQ,0.0,2,1
Diego,32.9699735,-117.1617226,CA,ChIJO7YuAvr324ARHBdnOsUK1gM,1,2.2,46
Diego,32.9572005,-117.1520771,CA,ChIJt2nDMBn424ARalbJs1lzwDk,1,3.7,9
Bird,45.7601279,-116.3017569,ID,ChIJSYmbsIDXoFQRDOjnWsIPEdA,0.0,4.2,41
Bird,45.77835959999999,-116.2834098,ID,ChIJV_3ZKPQqoVQR5ik5cjIEdec,0.0,4,1
Bird,45.7422216,-116.3104953,ID,ChIJd1j004_XoFQRC8H9hup_c-8,0.0,0.0,0
Waltonville,38.20993199999999,-89.03952199999999,IL,ChIJVZcP-8DDdogRcbZCj1l_9B8,1,4.5,51
Valley,41.3401167,-76.2812768,PA,ChIJYSVnJN9nxYkRKGUEy0TNJFc,0.0,0.0,0
Cascade,42.31921,-90.9172439,IA,ChIJ-e4irE9H44cRHQABed_7otI,1,4.3,70
Cascade,42.3079039,-90.9932642,IA,ChIJIZV-4fZD44cRk1N-y50kJNc,0.0,4.6,45
Cascade,42.306333,-90.9925781,IA,ChIJcV27JvdD44cRnKTGvbbcynQ,2,0.0,0
Cascade,42.3067629,-90.99462980000001,IA,ChIJyaNujvpD44cR5LN7FFqI-n0,0.0,4.4,14
Cascade,42.30697389999999,-90.99489,IA,ChIJbzBCMfND44cRe_CjiPCaQ9w,2,4,5
Springdale,36.1936138,-94.19559,AR,ChIJObj5WzcTyYcRdCUncNk2q6M,0.0,4.5,2
Springdale,36.1936138,-94.19559,AR,ChIJO1NwnOETyYcR3cXiBspvnmA,0.0,5,3
Springdale,36.1764284,-94.2116207,AR,ChIJlYu649VtyYcRFy4lqz612UU,2,4.5,164
Springdale,36.1763371,-94.2110927,AR,ChIJaVScWjhtyYcRvAo1a-m2uJU,1,3.9,75
Springdale,36.1763269,-94.20844009999999,AR,ChIJT1KcmzltyYcRCSE7Awwuc_Y,1,4.1,172
Springdale,36.17625179999999,-94.2084701,AR,ChIJQdK5jvptyYcRdiuv-c_Kg1o,1,3.9,19
Springdale,36.1762666,-94.2128738,AR,ChIJr1KlB9ttyYcRXVhgQNmQcKI,0.0,4.2,29
Springdale,36.1761269,-94.20842599999999,AR,ChIJNRl8nDltyYcRqqKJXupL80g,1,4.6,145
Springdale,36.1762661,-94.2132953,AR,ChIJf_ROVjhtyYcRfnUN1Py8CaE,1,4.1,344
Springdale,36.1762036,-94.2074293,AR,ChIJY_3XKjptyYcR3qf5U-Hvs54,2,3.6,489
Springdale,36.1762506,-94.2064735,AR,ChIJ9SXPWOBtyYcRcnD9RyidqiM,0.0,4.3,135
Springdale,36.17611299999999,-94.2064747,AR,ChIJbyA-STptyYcRCea0B918fW8,2,4.5,461
Springdale,36.1761778,-94.2057481,AR,ChIJ3xBGWDhtyYcR4YQVL9ijEmg,1,4.3,486
Springdale,36.1761339,-94.21565489999999,AR,ChIJn0aDQBBtyYcRDrlzml8474o,1,4,30
Springdale,36.1761665,-94.2158432,AR,ChIJ2wt6JX6YyYcRk9DDVWv5xzM,0.0,4.5,109
Springdale,36.1761471,-94.21639429999999,AR,ChIJv16lMh1tyYcR3PnXnmVlUfU,0.0,5,4
Springdale,36.1762475,-94.2167887,AR,ChIJ7UsSSiFtyYcRTEZKDRPGQqc,2,4.4,160
Springdale,36.1752609,-94.2108099,AR,ChIJs4dMPghtyYcRhzMGH6_iLXI,2,4.6,19
Springdale,36.1751852,-94.21136260000002,AR,ChIJGTh0K9ZtyYcR1OfQ7zWx8OQ,0.0,4.4,59
Springdale,36.1765425,-94.21813569999999,AR,ChIJxxLe3kVtyYcR7vDVWGDJn_Q,0.0,4,482
Ventura,34.2768356,-119.2389823,CA,ChIJ4fgvx1ut6YARrMQ681CP1AU,1,4.5,244
Ventura,34.2761944,-119.2390056,CA,ChIJSTj3y1ut6YARnfKQ6FmcBKc,2,4.5,331
Ventura,34.2750623,-119.2382552,CA,ChIJ60J4IVqt6YARnfNhB6jrneE,2,4.2,262
Ventura,34.274826,-119.23855,CA,ChIJwT2BIlqt6YARoa5vL5etGng,1,4.3,441
Ventura,34.27466589999999,-119.2395275,CA,ChIJ9Z9_6N6t6YARndWLOQ0K1eI,1,4.1,150
Ventura,34.27416150000001,-119.2385117,CA,ChIJtQTiT6Gt6YARW9wrFYNSeAM,2,4.4,193
Ventura,34.2740149,-119.2433181,CA,ChIJ17Isufqt6YARTDQ9IN-bmxo,0.0,4.5,90
Ventura,34.2735123,-119.2473089,CA,ChIJY2ENrkWt6YARv60Wp1axA7E,1,3.4,430
Ventura,34.27666000000001,-119.22625,CA,ChIJP7ZNVa-y6YAREIPfDV5Vvow,1,4.1,45
Ventura,34.2767998,-119.2261452,CA,ChIJ0aNhvnCz6YARiNb5piVGGjY,0.0,0.0,0
Ventura,34.2765048,-119.2262014,CA,ChIJtWbKqqiy6YARAfZ6zbWf9cg,2,4.3,246
Ventura,34.2730878,-119.2492511,CA,ChIJp09p1EWt6YARwWAFw4hx7nw,2,4.6,794
Ventura,34.2759316,-119.2255774,CA,ChIJl3Z0Rq-y6YARmRWPxt82FsA,1,4.2,115
Ventura,34.2711493,-119.2481132,CA,ChIJM96iD3St6YAR8kivhx2O_eQ,0.0,4.7,3
Ventura,34.2759399,-119.2254181,CA,ChIJA7k4Sk1N6IARSgmBa54Y6IQ,1,4.5,447
Ventura,34.2760064,-119.2252683,CA,ChIJxYkCzIaz6YAR9-SD5l4G3jk,0.0,4.9,65
Ventura,34.2699877,-119.2489125,CA,ChIJ42fyTk-t6YARo8xQ9WcSZaQ,1,3.9,17
Ventura,34.2728684,-119.2515777,CA,ChIJF_CV90at6YARtlkw4PGk1xQ,2,4.5,587
Ventura,34.268702,-119.248394,CA,ChIJX4tJJk-t6YARrvHAT1iqCo4,0.0,4.3,27
Ventura,34.2685706,-119.2486955,CA,ChIJX4tJJk-t6YARg9pw7vrdsR8,1,3.8,8
Gurdon,33.9991285,-93.1838777,AR,ChIJN31JYqQFM4YRck2E18-SHPk,2,4.3,486
Lebanon,37.66779500000001,-92.62802699999999,MO,ChIJiSQJWds5xYcRFixm5QP0exA,2,5,1
Lebanon,37.668099,-92.62896610000001,MO,ChIJcQXTWMM5xYcRJWsQnn_yjjs,0.0,5,1
Lebanon,37.6817213,-92.6378603,MO,ChIJTbPiF-05xYcRrMfFxhDy2LA,2,3.2,44
Lebanon,37.6866787,-92.64032259999999,MO,ChIJI0tG5ow5xYcRV_yNk5XJISc,0.0,4.2,181
Lebanon,37.6845198,-92.64109069999999,MO,ChIJj2hLqKQ5xYcRHbNKlPGvCVE,1,4.6,119
Lebanon,37.6842529,-92.6420567,MO,ChIJS5LpGY45xYcRqvPG-gbXyg8,1,4.1,681
Lebanon,37.6849686,-92.6427484,MO,ChIJJZqGro05xYcRj0j7z_9D158,0.0,4.9,20
Lebanon,37.6846809,-92.64299009999999,MO,ChIJERu2jW05xYcRaljfFG7fZLc,1,4.5,299
Lebanon,37.6687677,-92.64900349999999,MO,ChIJ7RXDRaM5xYcRUAE6s2LD6sg,1,3.7,624
Lebanon,37.6683186,-92.6488045,MO,ChIJb0NGTqM5xYcRMEduvJ-irXs,1,3.7,1185
Lebanon,37.6674425,-92.6490773,MO,ChIJLwL6Hn45xYcREztF_xE0_HM,0.0,4.1,16
Lebanon,37.6697498,-92.6512644,MO,ChIJTweCqaM5xYcRU_sVyP9KLXI,1,4,1405
Lebanon,37.6711383,-92.6522487,MO,ChIJ08oNQ6I5xYcROpwJm21vt4M,1,3.5,811
Lebanon,37.66586600000001,-92.649929,MO,ChIJdcmZuaQ5xYcR4Qu2G7RuEso,1,3.5,310
Lebanon,37.67158699999999,-92.652647,MO,ChIJn_CyFaI5xYcR9uhGA6QsqD0,2,4.2,812
Lebanon,37.662979,-92.6488638,MO,ChIJFW-QPK45xYcRLD1kywhDoBs,1,3.7,163
Lebanon,37.664536,-92.64984,MO,ChIJj9vUOqU5xYcRHdpMvEsgt9s,1,4.1,387
Lebanon,37.673975,-92.6546133,MO,ChIJSXRmOJ85xYcRWMQqtinYoIw,1,4.2,563
Lebanon,37.66639209999999,-92.65163989999999,MO,ChIJJTvZZqQ5xYcRFVoIbEALykg,2,4.3,1005
Lebanon,37.67441549999999,-92.65495299999999,MO,ChIJuxWpE585xYcRM_HOYxsoMhk,1,3.4,1542
Willmar,45.1203864,-95.0546968,MN,ChIJSarKNtdetVIRRE-GA0r5dUk,0.0,3.9,7
Willmar,45.1216273,-95.0502532,MN,ChIJ75dcDdBetVIRJmJO4eU0EtE,1,4.8,388
Willmar,45.1205551,-95.0495974,MN,ChIJ-bYx589etVIRGa9gJikDZKM,1,4.4,256
Willmar,45.1169652,-95.0500035,MN,ChIJqzvzMdJetVIRgiydGv0Rt4o,0.0,3,2
Willmar,45.12155629999999,-95.04890929999999,MN,ChIJs6-UG9BetVIRt2sPO42ErPM,0.0,4.7,25
Willmar,45.1212986,-95.0484845,MN,ChIJmbMI4c9etVIRRIGaUB-_KpE,0.0,4.5,101
Willmar,45.1218097,-95.0478276,MN,ChIJTXQK-89etVIRHlFQdFpdIy4,1,4.6,386
Willmar,45.1213636,-95.04783409999999,MN,ChIJFT2mlM9etVIRMzgovmBBmas,1,4.6,155
Willmar,45.1208469,-95.04752309999999,MN,ChIJATw-OLNftVIRG_y1vnUjz5I,0.0,4.8,68
Willmar,45.1216954,-95.047221,MN,ChIJvQb0k89etVIRvixXG9jzH60,2,4.5,178
Willmar,45.1027346,-95.05406440000002,MN,ChIJ7fGXAChZtVIRhlx1OKAMWtk,1,4.3,20
Willmar,45.11834940000001,-95.0431412,MN,ChIJ8d6KHLhetVIRc_mcSRO2Tiw,1,4.1,296
Willmar,45.1179936,-95.0431613,MN,ChIJ41-WzAVftVIRCZgDkfBW1Rg,0.0,4.1,134
Willmar,45.1177107,-95.0431473,MN,ChIJw0GVZqBftVIRSBzYucp3b7Q,2,4.5,25
Willmar,45.11604060000001,-95.0432381,MN,ChIJ38_Fe8xetVIRGhINotbzZBs,1,4,256
Willmar,45.1141104,-95.0429707,MN,ChIJUxQz4D9ftVIR5dGxCt5PQp0,0.0,4.5,11
Willmar,45.1141104,-95.0429707,MN,ChIJX5dNXjpftVIReBk9T2pNFSw,0.0,4.4,19
Willmar,45.1166744,-95.0421882,MN,ChIJmShSCMxetVIRYptJOBdtH94,1,3.6,904
Willmar,45.1153565,-95.0423404,MN,ChIJDz3smsxetVIRu94hq3Qgx-Q,1,4.1,161
Willmar,45.11465460000001,-95.0423089,MN,ChIJU78dmsxetVIRGkVxnTMjEDM,1,3.9,296
Shoshoni,43.23563199999999,-108.104216,WY,ChIJO8B5_WTKWIcR_pO7qyO5Wog,2,4.4,204
Shoshoni,43.2356458,-108.1087432,WY,ChIJz050g5vLWIcR909WZlhw4OI,0.0,1,1
Shoshoni,43.2359709,-108.1112054,WY,ChIJu9LLDm7KWIcRNpE9OiE8xMk,1,4.3,36
Lakes,46.6604499,-94.198059,MN,ChIJie7-7c3btlIR7a7qN4xH4TI,0.0,4.5,255
Lakes,46.65595680000001,-94.196992,MN,ChIJKyYc9svbtlIRPrXpHkBS9F8,3,4.6,205
Crosslake,46.6838834,-94.12821269999999,MN,ChIJx6yW0znXtlIRobP4SvXWCi0,2,4.3,494
Crosslake,46.66733499999999,-94.112057,MN,ChIJC3yJ09bQtlIRopaaM5xjG0A,2,4.1,190
Crosslake,46.655781,-94.113592,MN,ChIJZeeRgt3QtlIREJDr05oyn34,2,4.5,331
Crosslake,46.67755289999999,-94.11061389999999,MN,ChIJJdO0RyrXtlIRMyrNUsB98gA,2,4.2,530
Crosslake,46.680549,-94.11075,MN,ChIJ4wjSiCnXtlIRzCQ5T4pvA0w,1,4.3,128
Crosslake,46.669294,-94.1085164,MN,ChIJOYqHCdbQtlIRa81FbNpSo0c,2,4.3,271
Crosslake,46.6706124,-94.1083362,MN,ChIJ7yjMeNbQtlIRBuLMKi0Voys,0.0,4.1,10
Crosslake,46.67097219999999,-94.10829,MN,ChIJaecQidXQtlIRy9Vzd8z1azo,2,4.6,237
Crosslake,46.69960260000001,-94.1185963,MN,ChIJv8mMlRvXtlIR2i1JfA79s10,1,4.1,68
Crosslake,46.6983566,-94.1165771,MN,ChIJ_XtcqR7XtlIRwCcmuuLfeOo,2,4.3,622
Crosslake,46.6708694,-94.1026626,MN,ChIJXcEj8yvRtlIRqp-gI0zl_7U,2,4.5,298
Crosslake,46.70577910000001,-94.12155360000001,MN,ChIJm64gpQXXtlIRZfvhg0Qp8bs,2,4.2,302
Crosslake,46.6354383,-94.11860949999999,MN,ChIJtcqyAPbQtlIR-LUM00meVHo,1,4.5,263
Crosslake,46.718539,-94.12788139999999,MN,ChIJqySddbzXtlIRoOWzn11GykI,0.0,4.1,389
Island,32.605779,-80.1558661,SC,ChIJkyaI7Ygr_IgRUb-HzZMTrBc,2,3.8,164
Island,32.606605,-80.15566369999999,SC,ChIJh7FXyFYr_IgR_KLbWZAt8Wk,0.0,0.0,0
Island,32.60628319999999,-80.155636,SC,ChIJLb1y1VMr_IgR5Md7jlUS0To,2,4,313
