City,State,Restaurant_Name,Place_ID,Price_Range,Rating,Ratings_Count,Lat,Lng
Venetia,PA,Lyn Palace resto,ChIJ5dJ-c_b_NIgRKlRis7WfXR0,0,0,0,40.286502,-80.0618509
Park,PA,Luciano's Pizza & Pasta,ChIJiZQtdCX5NIgRbdVyyR8tryM,2,4,255,40.2974278,-80.0450194
Township,PA,Honeymoon,ChIJn-p6j0n5NIgRi2P7lP-eK3A,0,4.3,118,40.2904149,-80.0288196
Park,PA,Subway,ChIJTdDj1kn5NIgRqEkTP9j_e0k,1,4.3,80,40.2924775,-80.0310485
Township,PA,Castle Tavern South,ChIJE816nkn5NIgRBggTcKYb2nQ,1,4.5,343,40.2911191,-80.0285168
Park,PA,7-Eleven,ChIJQe-WKUj5NIgRMTHszePOI20,1,3.6,11,40.2937068,-80.0310338
Park,PA,Trolley Stop Inn,ChIJJwykOkj5NIgRhEASiE-O2QY,1,4.4,551,40.2934281,-80.0303066
Township,PA,Hot Box Pizza & Wings,ChIJJQNR8Uz5NIgR-wmLhBUE5uE,1,3.7,75,40.2870688,-80.0237271
Township,PA,Ya Ya's Pizza,ChIJLcvi4kz5NIgR_Ovd8SOGMqo,2,4.1,139,40.2865145,-80.0227936
Finleyville,PA,Beach House Restaurant,ChIJmfdaJrv-NIgRnIKBTBv_jPg,1,4.5,211,40.2714306,-80.0209111
Finleyville,PA,Tiki Bar,ChIJrYpQJrv-NIgRPrSLTbnnyBU,0,4.6,140,40.2708717,-80.0208051
Township,PA,Blue Line Grille,ChIJN2LQUFP5NIgRexI-iu62_GY,0,4.2,26,40.2867698,-80.0215454
Township,PA,Blue Line Grille,ChIJtYnSC035NIgRF8LmFe4ikzI,2,4.1,266,40.286765,-80.0215382
Township,PA,My Place,ChIJ3VVVDU35NIgRh3vfwDDve5w,1,4.1,42,40.2865715,-80.0214157
McMurray,PA,Subway,ChIJdT6qkEX_NIgRTzBsWTVeUUc,1,3.9,40,40.27896,-80.0822213
McMurray,PA,Parea Gyros,ChIJH8qlJh7_NIgRWv8YavzUpDM,1,4.4,94,40.2784253,-80.08325
McMurray,PA,Lorenzo's Pub and Pizza,ChIJJdKGnEX_NIgRliHr7hRafQk,0,4.6,129,40.2797889,-80.0833969
McMurray,PA,Pizza Hut,ChIJpQFi90__NIgRkh_P73OyYyA,1,3.6,62,40.2807473,-80.0837727
Canonsburg,PA,China Express,ChIJx8oO9k__NIgRpcP_s3OliA4,2,4.3,71,40.27949,-80.084248
McMurray,PA,Starbucks,ChIJZWnOZEX_NIgRr5yCyziqrZc,2,4.3,154,40.279571,-80.084546
Harrah,WA,Ms. Shawna's Farmhouse Cafe,ChIJ6z8r2OWCl1QRqubS9neoJfM,0,4.3,18,46.4038357,-120.5437051
Brooklin,ME,The Lookout Wedding & Catering,ChIJEV7_X7WbrkwRp91xhuecvd0,0,0,0,44.2630718,-68.5201339
Brooklin,ME,The Brooklin Inn,ChIJ5d5l-RibrkwRPrmGTaz9PTs,0,4.3,58,44.2655703,-68.5710382
Raphaël,QC,Casse-croute d'Amours,ChIJdZy4iYDeuEwRULV6P48anZ4,2,4.1,144,46.7992117,-70.755122
,,,,,,,,
Montreal,QC,District 40 Resto Bar,ChIJO6bXSfMeyUwReQdt6Pd057U,0,0,0,45.5890479,-73.582284
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Montreal,QC,La Bella Italiana,ChIJHRrbmo0eyUwRz_Xc0ecdSOI,2,4.6,675,45.5857279,-73.5796577
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Tieton,WA,Fernando's Mexican Food,ChIJIWXDXJpgl1QReDnevKCDIH8,1,4.6,53,46.70479,-120.755576
Tieton,WA,DON MATEO,ChIJQwFRXppgl1QRQ6TIjbNcaNg,0,4.7,116,46.7047285,-120.7549937
Cowiche,WA,Cocina Zacatecas,ChIJ4Xyb0BFhl1QRlawxCIfhMu4,0,5,2,46.6706532,-120.7103342
McGregor,MN,Prairie River Retreat,ChIJ-_ZDnSKrsVIRTKXM43yjO34,2,4.4,68,46.7572592,-93.2494639
English,IA,Butch's Cafe,ChIJO1rRfUXB5YcROIlXDOFVlt0,0,4.8,6,41.5142145,-92.076311
English,IA,EV Malt Shop,ChIJk6rVXkXB5YcR7CWfdq76O3c,1,4.6,163,41.5129543,-92.0765753
English,IA,Casey's,ChIJP9Knn1rB5YcRwoJVZMd3HvM,1,4.4,28,41.5112352,-92.0769249
Labadieville,LA,Cajun Cafe On The Bayou,ChIJEdtFcJpBIYYR-1KQaFtdKM0,0,4.5,19,29.837677,-90.9519882
Labadieville,LA,Vinnie's Sandwich Shoppe,ChIJR1_72xFBIYYRgq3NSq-lZX8,0,4.4,35,29.8354828,-90.9495912
Washington,NC,La Mesa Mexican Restaurant and Bar,ChIJd9WiyLkjr4kRfWRRTnCSpmo,0,4.6,102,35.5610417,-77.0558407
Washington,NC,Taqueria El Gallito (El Gallito Restaurant),ChIJsyWAfoAir4kRYIkM5U4Feo0,0,4.6,64,35.560186,-77.056043
Washington,NC,La Ribera,ChIJKTt5-oAir4kRMxEMKpRK658,1,4.3,285,35.5596841,-77.0561216
Washington,NC,Pizza Inn Buffet,ChIJVSpQ_4EYr4kRG6drak0XZe8,1,3.9,577,35.56396,-77.061763
Washington,NC,Arby's,ChIJF7XgdH8ir4kRGr6liCaU2DE,1,4.2,493,35.562042,-77.05976
Washington,NC,Bill's Hot Dog Stand,ChIJA0btKGMir4kRBGemLuT82IE,1,4.5,125,35.55896,-77.0559022
Washington,NC,Speedy Wok,ChIJf465KWMir4kRukXCsbKS4AQ,1,4.5,266,35.5589084,-77.0559805
Washington,NC,Papa John's Pizza,ChIJxyrVFX0ir4kRFQ3LZJgjHgE,1,4.1,90,35.559168,-77.0569336
Washington,NC,Wendy's,ChIJLb7fbH8ir4kRBOIP6TwFM0U,1,3.8,305,35.561592,-77.0603505
Washington,NC,Hwy 55 Burgers Shakes & Fries,ChIJkZe1zTt9WogR6x_-27khXVY,1,4.2,267,35.5591134,-77.0568913
Washington,NC,Boss Hog's Backyard Barbeque,ChIJoUEoHYIYr4kRenjAoZwkwsk,2,4.4,630,35.5640305,-77.0629619
Washington,NC,Little Caesars Pizza,ChIJM4tTi4Air4kRxq12Y7AY2O8,1,4.2,158,35.558876,-77.05655
Washington,NC,Quality Inn,ChIJB-sLGIIYr4kRytuWHfr9t60,0,3.4,177,35.564403,-77.063324
Washington,NC,KFC,ChIJeZ01AoIYr4kRYvjb5WKLJ-k,1,3.5,418,35.5636147,-77.0627006
Washington,NC,Burger King,ChIJPY65OX8ir4kRdC3Kebdaw7E,1,3.8,289,35.5618656,-77.0608887
Washington,NC,Pizza Hut,ChIJ_3O2bn8ir4kRxnKtF8sev4I,1,3.7,223,35.5630386,-77.0633841
Washington,NC,Dragon Garden Buffet,ChIJZ76j_4EYr4kRVJM1SffIkVY,2,4,332,35.5611251,-77.0620679
Washington,NC,McDonald's,ChIJvRmJ3n4ir4kRo_o3lfpZ454,1,3.5,916,35.5596872,-77.0613099
Washington,NC,Jersey Mike's Subs,ChIJL_OKkXgir4kRh8sMSnfmPE4,1,4.4,231,35.562352,-77.0643
Washington,NC,Bojangles,ChIJsfI8hX4ir4kRf3DHsVmM4UU,1,3.8,568,35.5581313,-77.0595292
Carlisle,KY,Ladobee's Steak House,ChIJnaTJbzvbQ4gR8nGQ8xg-EuY,0,3.8,46,38.3495039,-84.0468595
Willard,OH,Brass Pelican at Holiday Lakes,ChIJ36E8W9UnOogRGnpUnHJqEvQ,1,4.4,247,41.0908106,-82.7342264
Willard,OH,Taco Rico,ChIJG2AoNPonOogRnUTEHeTpALg,1,4.4,153,41.0575331,-82.726257
Willard,OH,Uncle Dudley's Restaurant,ChIJ8yV3PPonOogRO4tO9wnQfkQ,1,4.5,409,41.0572735,-82.7247386
Willard,OH,Domino's Pizza,ChIJV-JwkPknOogR9uJmi8k9D48,1,4.4,149,41.0555605,-82.7256784
Willard,OH,The Shoe Box,ChIJgXoKq_cnOogRLGxjH9-aBYc,0,4.2,82,41.053433,-82.7215966
Willard,OH,East of Chicago,ChIJCRZfQAaIOYgRa1QuqmD6VVY,1,4.1,230,41.04296,-82.7308769
Willard,OH,Alma's,ChIJObJubQaIOYgRVdGyQ3Lm8EE,0,0,0,41.0429094,-82.7298917
Willard,OH,Subway,ChIJwTC3DAWIOYgRT054IAFk2K0,1,4.1,120,41.0430887,-82.7293884
Willard,OH,KFC,ChIJQy5-lgWIOYgR4eLvdV64v14,1,3.7,152,41.042485,-82.727594
Willard,OH,Bruno's Pizzeria,ChIJMXYsDgWIOYgRcSFFkd-9n04,2,3.3,55,41.043386,-82.725557
Willard,OH,Sola Scriptura Ltd,ChIJwTC3DAWIOYgRMjtuRnSVEeY,0,0,0,41.0427074,-82.7262074
Willard,OH,FriendShip Store,ChIJ55zHqbiJOYgRTAseLpji8ow,0,4.2,5,41.0428789,-82.7255513
Willard,OH,Taco Bell,ChIJgQ4t-A-IOYgRqFsbsoZtBjE,1,3.6,165,41.0429148,-82.7242404
Willard,OH,Fu Sing,ChIJgQ4t-A-IOYgRoinFub0aUFM,0,4.7,180,41.0411377,-82.7263732
Willard,OH,La Campesina,ChIJ_d4ZWQ-IOYgRYk7nXwh7iB8,2,4.4,521,41.0430108,-82.7235634
Willard,OH,Arby's,ChIJi-erTgWIOYgRC1h9UpIsrvs,1,4.3,205,41.042366,-82.724293
Willard,OH,McDonald's,ChIJj51U3RqIOYgRAH1HRM9pv18,1,3.5,532,41.0430653,-82.7227986
Willard,OH,Wendy's,ChIJrVQ4sRqIOYgRK_wKaCrbRM4,1,3.9,282,41.0423146,-82.7234624
Willard,OH,Loyal Order of Moose,ChIJvWiyxxqIOYgRJMamxG4eAeA,0,4.7,23,41.0422401,-82.7227783
Willard,OH,Circle K,ChIJVYVqwhmIOYgRy-7foAKsoRs,1,4.3,71,41.0415142,-82.7174111
Fayette,IA,Dt's Pub & Primetime,ChIJxXHGfi8g-4cRjCnLf3o8ilo,1,4.2,129,42.8424146,-91.8024222
Fayette,IA,Shrubb's Street Eatery,ChIJVVUJdKUd-4cRAW4Hrqnbp8g,0,5,47,42.8440578,-91.8024681
Fayette,IA,Meatzy's Deli,ChIJlV4mj9Ah-4cReTKd-3D0tXs,0,5,1,42.8447421,-91.8087999
Fayette,IA,Blimpie America's Sub Shop,ChIJd-SNAyQg-4cRAENG_kDB1ek,1,3.8,9,42.8447421,-91.8087999
Fayette,IA,Big Rock Country Club,ChIJpyG7F9oh-4cRzZbc5V-Iuks,0,4.7,51,42.844686,-91.780164
Manter,KS,Uncle Ed's,ChIJOz5M6WAlCYcRzIfzmdW7lrM,0,4.5,2,37.523441,-101.8852379
Creek,AZ,Domino's Pizza,ChIJmRm2qVFSKocRHlHDjZioth8,1,3.8,235,33.1891664,-111.5996851
Creek,AZ,Sonic Drive-In,ChIJJ3cNuCBMKocRlStPVA0Q0l8,1,3.9,1055,33.1894819,-111.5993026
Creek,AZ,San Tan Flat,ChIJXeM4XcZNKocRRGmfKydACkA,2,4.5,3817,33.2007439,-111.6325863
Creek,AZ,Hungry Howie's Pizza,ChIJ6-Oh-TJMKocR7Mw3lye92SM,1,3.7,199,33.177937,-111.585753
Valley,AZ,Los Favoritos,ChIJdTGzPtlIKocRzduD-GNvn80,1,4.2,1005,33.1780884,-111.5857613
